,,plain positive,,plain negative,,polite positive,,polite negative,,plain potential positive,

"abuse verbally, curse",1,ののしる,nonoshiru,,,,,,,,

act violently,1,たける,takeru,,,,,,,,

add,1,"足す
たす",tasu,,,,,,,,

"add to, include",2,"加える
くわえる",kuwaeru,,,,,,,,

"admit, recognize",2,"認める
みとめる",mitomeru,,,,,,,,

answer,2,"答える
こたえる",kotaeru,,,,,,,,

arrive,1,"着く
つく",tsuku,,,,,,,,

aspire to,1,"志す
こころざす",kokorozasu,,,,,,,,

attack,1,"襲う
おそう",osou,,,,,,,,

attend on,1,侍る,haberu,,,,,,,,

"attract attention, stand out",1,"目立つ
めだつ",medatsu,,,,,,,,

"avoid, dodge",2,"避ける
さける",sakeru,,,,,,,,

"bake, grill",1,焼く,yaku,,,,,,,,

"ban, prohibit",2,"禁じる
きんじる",kinjiru,,,,,,,,

"bathe, take a shower",2,"浴びる
あびる",abiru,,,,,,,,

be,2,"居る
いる",iru,,,,,,,,

be able,2,"出来る
できる",dekiru,,,,,,,,

be absorbed in,1,ふける,fukeru,,,,,,,,

be alive,2,"生きる
いきる",ikiru,,,,,,,,

"be audible, able to hear",2,"聞こえる
きこえる",kikoeru,,,,,,,,

be based on,1,"基づく
もとづく",motozuku,,,,,,,,

"be blinded, get dizzy",1,"眩む
くらむ",kuramu,,,,,,,,

be born,2,"生まれる
うまれる",umareru,,,,,,,,

"be broken, snap",2,"折れる
おれる",oreru,,,,,,,,

"be burned, charred",2,"焦げる
こげる",kogeru,,,,,,,,

be crooked,1,,kuneru,,,,,,,,

"be cured, healed",1,"治る
なおる",naoru,,,,,,,,

"be decided, agreed upon",1,"決まる
きまる",kimaru,,,,,,,,

"be defeated, lose a game",2,"負ける
まける",makeru,,,,,,,,

be different from,1,"異なる
ことなる",kotonaru,,,,,,,,

"be different, wrong",1,"違う
ちがう",chigau,,,,,,,,

"be enough, suffient",2,"足りる
たりる",tariru,,,,,,,,

be found,1,"見つかる
みつかる",mitsukaru,,,,,,,,

be frightened,1,,tamagiru,,,,,,,,

"be glad, pleased",1,喜ぶ,yorokobu,,,,,,,,

be greasy,1,脂ぎる,aburagiru,,,,,,,,

"be in a hurry, panic",1,"焦る
あせる",aseru,,,,,,,,

be in trouble,1,"困る
こまる",komaru,,,,,,,,

"be late, lag behind",2,"遅れる
おくれる",okureru,,,,,,,,

be lazy,2,"怠ける
なまける",namakeru,,,,,,,,

"be missing, vanish",1,"無くなる
なくなる",nakunaru,,,,,,,,

"be mistaken, make a mistake",1,"間違う
まちがう",machigau,,,,,,,,

"be mixed, get mingled with, join",1,"混じる
まじる",majiru,,,,,,,,

be next,1,"次ぐ
つぐ",tsugu,,,,,,,,

be overturned,1,,kutsugaeru,,,,,,,,

"be piled up, overlap",1,"重なる
かさなる",kasanaru,,,,,,,,

be popular,2,もてる,moteru,,,,,,,,

"be profitable, make money",1,"儲かる
もうかる",mokaru,,,,,,,,

be puzzled,1,"迷う
まよう",mayou,,,,,,,,

"be sad, grieve",1,"悲しむ
かなしむ",kanashimu,,,,,,,,

"be saved, accumulated",1,たまる,tamaru,,,,,,,,

be slippery,1,,numeru,,,,,,,,

be suprised,1,びびる,bibiru,,,,,,,,

"be suprised, amazed",1,"驚く
おどろく",odoroku,,,,,,,,

"be visible, able to see",2,"見える
みえる",mieru,,,,,,,,

"be worse than, inferior to",1,"劣る
おとる",otoru,,,,,,,,

bear a grudge,1,,uramu,,,,,,,,

become,1,なる,naru,,,,,,,,

"become blurred, hazy",1,"霞む
かすむ",kasumu,,,,,,,,

become crowded,1,"込む
こむ",komu,,,,,,,,

become damp,1,,shikeru,,,,,,,,

become dark,1,,kageru,,,,,,,,

become dry,1,"乾く
かわく",kawaku,,,,,,,,

"become empty, uncrowded",1,"空く
すく",suku,,,,,,,,

"become hard, bunch up",1,"固まる
かたまる",katamaru,,,,,,,,

"become hurt, damaged",1,"痛む
いたむ",itamu,,,,,,,,

become misty,1,,kishiru,,,,,,,,

become popular,1,"流行る
はやる",hayaru,,,,,,,,

become stronger,1,"強まる
つよまる",tsuyomaru,,,,,,,,

become sultry,1,,ikiru,,,,,,,,

become wet,2,"濡れる
ぬれる",nureru,,,,,,,,

begin,2,"始める
はじめる",hajimeru,,,,,,,,

begin,1,"始まる
はじまる",hajimaru,,,,,,,,

"believe, trust",2,"信じる
しんじる",shinjiru,,,,,,,,

"belittle, despise",1,,mikubiru,,,,,,,,

"bend, twist",2,"曲げる
まげる",mageru,,,,,,,,

"bend, twist",1,"捻る
ひねる",hineru,,,,,,,,

bite,1,"噛む
かむ",kamu,,,,,,,,

bloom,1,"咲く
さく",saku,,,,,,,,

"blow, wipe",1,"吹く
ふく",fuku,,,,,,,,

"board, ride on",1,"乗る
のる",noru,,,,,,,,

boast,1,"威張る
いばる",ibaru,,,,,,,,

"boil, seethe",1,,tagiru,,,,,,,,

"borrow, rent",2,"借りる
かりる",kariru,,,,,,,,

break,2,"壊れる
こわれる",kowareru,,,,,,,,

"break, cut off, expire",2,"切れる
きれる",kireru,,,,,,,,

"break, lose, be beaten",2,,yabureru,,,,,,,,

"bring up a child, train",2,"育てる
そだてる",sodateru,,,,,,,,

"brought back to life, refreshed",1,,yomigaeru,,,,,,,,

build,2,"立てる
たてる",tateru,,,,,,,,

burn,2,"焼ける
やける",yakeru,,,,,,,,

buy,1,"買う
かう",kau,買わない,kawanai,買います,kaimasu,買いません,kaimasen,買える,kaeru

call,1,"呼ぶ
よぶ",yobu,呼ばない,yobanai,呼びます,yobimasu,呼びません,yobimasen,呼べる,yoberu

"care about, mind",1,"構う
かまう",kamau,,,,,,,,

carry,1,"運ぶ
はこぶ",hakobu,,,,,,,,

carry on one's shoulders,1,"担ぐ
かつぐ",katsugu,,,,,,,,

"catch, hold (between two things)",1,"挟む
はさむ",hasamu,,,,,,,,

"celebrate, congratulate",1,"祝う
いわう",iwau,,,,,,,,

change,2,変える,kaeru,,,,,,,,

change,1,"変わる
かわる",kawaru,,,,,,,,

"chase, drive away",1,"追う
おう",ou,,,,,,,,

chatter,1,"喋る
しゃべる",shaberu,,,,,,,,

chatter,1,,daberu,,,,,,,,

"check, investigate",2,"調べる
しらべる",shiraberu,,,,,,,,

"choose, select",1,選ぶ,erabu,,,,,,,,

"clash, disagree",1,"食い違う
くいちがう",kuichigau,,,,,,,,

"clear up, tidy up",2,"晴れる
はれる",hareru,,,,,,,,

climb,1,"登る
のぼる",noboru,,,,,,,,

"close, be closed",1,"閉まる
しまる",shimaru,,,,,,,,

"collapse, cave in",2,"崩れる
くずれる",kuzureru,,,,,,,,

come,1,"来る
くる",kuru,,,,,,,,

come off,2,"取れる
とれる",toreru,,,,,,,,

"come off, go wide",2,"外れる
はずれる",hazureru,,,,,,,,

"come untied, loose",2,"解ける
ほどける",hodokeru,,,,,,,,

come/go (humble),1,"参る
まいる",mairu,,,,,,,,

"comfort, console",2,"慰める
なぐさめる",nagusameru,,,,,,,,

command,2,"言いつける
いいつける",iitsukeru,,,,,,,,

commute,1,"通う
かよう",kayou,,,,,,,,

compare,2,"比べる
くらべる",kuraberu,,,,,,,,

compete,1,,seru,,,,,,,,

concentrate,1,"凝らす
こらす",korasu,,,,,,,,

"connect, fasten",1,,tsunagu,,,,,,,,

"continue, follow",1,"続く
つづく",tsuzuku,,,,,,,,

"continue, proceed",2,"続ける
つづける",tsuzukeru,,,,,,,,

"cool, refridgerate",1,"冷やす
ひやす",hiyasu,,,,,,,,

count,2,"数える
かぞえる",kazoeru,,,,,,,,

cross,1,"渡る
わたる",wataru,,,,,,,,

"cross, pass, move ahead",1,"越す
こす",kosu,,,,,,,,

"crush, smash",1,"砕く
くだく",kudaku,,,,,,,,

cry,1,"鳴く
なく",naku,,,,,,,,

curse,1,,kashiru,,,,,,,,

cut,1,"切る
きる",kiru,,,,,,,,

dance,1,"踊る
おどる",odoru,,,,,,,,

dare,1,,omoikiru,,,,,,,,

"decay, go bad, be depressed",1,"腐る
くさる",kusaru,,,,,,,,

"deceive, lie",1,"偽る
いつわる",itsuwaru,,,,,,,,

